"ID"	"Sex"	"MetaPref"	"Musicianship"	"Ollen_Score"	"valence"	"chord"	"register"	"inversion"	"tension"	"energy"	"consonance"	"preference"
"S67"	"female"	"ReflectiveAndComplex"	"Non-musician"	182	3	"Minor"	"High"	"Third"	2	5	6	3
"S68"	"female"	"ReflectiveAndComplex"	"Musician"	564	2	"Minor"	"High"	"Third"	6	3	5	6
"S69"	"female"	"ReflectiveAndComplex"	"Musician"	853	2	"Minor"	"High"	"Third"	6	2	2	3
"S70"	"male"	"IntenseAndRebellious"	"Non-musician"	468	3	"Minor"	"High"	"Third"	2	5	4	3
"S71"	"male"	"ReflectiveAndComplex"	"Musician"	977	2	"Minor"	"High"	"Third"	2	3	6	7
"S72"	"male"	"IntenseAndRebellious"	"Musician"	817	2	"Minor"	"High"	"Third"	5	4	3	5
"S73"	"male"	"UpbeatAndConventional"	"Musician"	877	3	"Minor"	"High"	"Third"	5	4	5	4
"S74"	"female"	"UpbeatAndConventional"	"Musician"	682	3	"Minor"	"High"	"Third"	4	4	5	4
"S75"	"female"	"EnergeticAndRhythmic"	"Musician"	815	4	"Minor"	"High"	"Third"	5	1	6	5
"S76"	"male"	"ReflectiveAndComplex"	"Non-musician"	490	3	"Minor"	"High"	"Third"	2	2	6	3
"S77"	"female"	"UpbeatAndConventional"	"Non-musician"	273	3	"Minor"	"High"	"Third"	6	6	6	5
"S78"	"female"	"ReflectiveAndComplex"	"Musician"	872	6	"Minor"	"High"	"Third"	4	3	7	6
"S79"	"female"	"UpbeatAndConventional"	"Non-musician"	89	2	"Minor"	"High"	"Third"	2	3	5	5
"S80"	"female"	"UpbeatAndConventional"	"Non-musician"	209	3	"Minor"	"High"	"Third"	2	3	6	5
"S81"	"male"	"ReflectiveAndComplex"	"Non-musician"	164	3	"Minor"	"High"	"Third"	4	4	7	6
"S82"	"male"	"ReflectiveAndComplex"	"Musician"	999	4	"Minor"	"High"	"Third"	5	4	4	3
"S83"	"female"	"IntenseAndRebellious"	"Non-musician"	86	2	"Minor"	"High"	"Third"	5	3	3	5
"S84"	"male"	"EnergeticAndRhythmic"	"Non-musician"	100	5	"Minor"	"High"	"Third"	6	6	5	3
"S85"	"male"	"ReflectiveAndComplex"	"Musician"	980	2	"Minor"	"High"	"Third"	3	3	7	7
"S86"	"male"	"EnergeticAndRhythmic"	"Non-musician"	117	2	"Minor"	"High"	"Third"	4	4	4	2
"S87"	"female"	"UpbeatAndConventional"	"Non-musician"	244	3	"Minor"	"High"	"Third"	2	3	5	5
"S88"	"female"	"IntenseAndRebellious"	"Non-musician"	314	2	"Minor"	"High"	"Third"	3	3	4	4
"S89"	"female"	"ReflectiveAndComplex"	"Musician"	783	4	"Minor"	"High"	"Third"	4	2	6	3
"S90"	"female"	"ReflectiveAndComplex"	"Musician"	820	3	"Minor"	"High"	"Third"	4	4	5	4
"S91"	"female"	"ReflectiveAndComplex"	"Musician"	836	1	"Minor"	"High"	"Third"	6	1	7	4
"S92"	"female"	"IntenseAndRebellious"	"Non-musician"	280	3	"Minor"	"High"	"Third"	4	3	6	2
"S93"	"male"	"ReflectiveAndComplex"	"Musician"	537	6	"Minor"	"High"	"Third"	3	4	7	6
"S94"	"male"	"UpbeatAndConventional"	"Non-musician"	340	5	"Minor"	"High"	"Third"	4	5	5	6
"S95"	"male"	"ReflectiveAndComplex"	"Musician"	989	4	"Minor"	"High"	"Third"	4	4	5	4
"S96"	"male"	"ReflectiveAndComplex"	"Musician"	956	4	"Minor"	"High"	"Third"	2	2	6	3
"S97"	"male"	"ReflectiveAndComplex"	"Non-musician"	387	3	"Minor"	"High"	"Third"	5	5	3	4
"S98"	"male"	"ReflectiveAndComplex"	"Musician"	738	5	"Minor"	"High"	"Third"	1	4	7	5
"S99"	"female"	"ReflectiveAndComplex"	"Musician"	559	1	"Minor"	"High"	"Third"	6	7	4	4
"S100"	"female"	"ReflectiveAndComplex"	"Musician"	994	3	"Minor"	"High"	"Third"	5	3	6	6
"S101"	"female"	"UpbeatAndConventional"	"Non-musician"	210	3	"Minor"	"High"	"Third"	2	3	7	7
"S102"	"female"	"UpbeatAndConventional"	"Musician"	996	3	"Minor"	"High"	"Third"	2	2	6	3
"S103"	"male"	"ReflectiveAndComplex"	"Musician"	797	3	"Minor"	"High"	"Third"	2	2	4	6
"S104"	"female"	"ReflectiveAndComplex"	"Musician"	996	6	"Minor"	"High"	"Third"	4	4	7	6
"S105"	"female"	"ReflectiveAndComplex"	"Musician"	612	3	"Minor"	"High"	"Third"	3	4	5	5
"S106"	"male"	"UpbeatAndConventional"	"Non-musician"	100	3	"Minor"	"High"	"Third"	6	5	3	7
"S107"	"male"	"ReflectiveAndComplex"	"Non-musician"	158	6	"Minor"	"High"	"Third"	2	2	7	1
"S108"	"male"	"IntenseAndRebellious"	"Non-musician"	128	3	"Minor"	"High"	"Third"	4	3	5	6
"S109"	"male"	"ReflectiveAndComplex"	"Musician"	997	4	"Minor"	"High"	"Third"	3	4	6	3
"S110"	"male"	"ReflectiveAndComplex"	"Musician"	967	4	"Minor"	"High"	"Third"	2	5	7	6
"S111"	"female"	"ReflectiveAndComplex"	"Musician"	514	4	"Minor"	"High"	"Third"	4	4	4	4
"S112"	"female"	"IntenseAndRebellious"	"Non-musician"	32	7	"Minor"	"High"	"Third"	7	6	7	7
"S113"	"female"	"ReflectiveAndComplex"	"Musician"	954	5	"Minor"	"High"	"Third"	4	6	5	5
"S114"	"female"	"ReflectiveAndComplex"	"Non-musician"	472	4	"Minor"	"High"	"Third"	5	5	3	3
"S115"	"female"	"ReflectiveAndComplex"	"Musician"	846	6	"Minor"	"High"	"Third"	2	5	6	5
"S116"	"male"	"ReflectiveAndComplex"	"Non-musician"	405	4	"Minor"	"High"	"Third"	5	5	4	3
"S117"	"female"	"ReflectiveAndComplex"	"Musician"	516	5	"Minor"	"High"	"Third"	3	3	5	5
"S118"	"female"	"ReflectiveAndComplex"	"Non-musician"	387	3	"Minor"	"High"	"Third"	4	4	4	2
"S119"	"female"	"ReflectiveAndComplex"	"Musician"	985	3	"Minor"	"High"	"Third"	5	5	5	7
"S120"	"female"	"ReflectiveAndComplex"	"Musician"	933	4	"Minor"	"High"	"Third"	2	2	7	3
"S121"	"female"	"IntenseAndRebellious"	"Non-musician"	119	3	"Minor"	"High"	"Third"	2	3	6	7
"S122"	"male"	"ReflectiveAndComplex"	"Musician"	913	5	"Minor"	"High"	"Third"	4	3	5	5
"S123"	"female"	"UpbeatAndConventional"	"Non-musician"	118	3	"Minor"	"High"	"Third"	3	3	5	4
"S124"	"male"	"ReflectiveAndComplex"	"Non-musician"	100	3	"Minor"	"High"	"Third"	3	4	5	3
"S125"	"male"	"IntenseAndRebellious"	"Non-musician"	351	5	"Minor"	"High"	"Third"	3	3	6	5
"S126"	"male"	"ReflectiveAndComplex"	"Musician"	944	3	"Minor"	"High"	"Third"	4	4	5	4
"S127"	"male"	"EnergeticAndRhythmic"	"Non-musician"	55	4	"Minor"	"High"	"Third"	5	5	3	5
"S128"	"female"	"UpbeatAndConventional"	"Non-musician"	111	2	"Minor"	"High"	"Third"	5	5	3	3
"S129"	"male"	"EnergeticAndRhythmic"	"Musician"	910	2	"Minor"	"High"	"Third"	2	2	6	4
"S130"	"male"	"ReflectiveAndComplex"	"Musician"	949	4	"Minor"	"High"	"Third"	3	6	3	7
"S131"	"female"	"UpbeatAndConventional"	"Musician"	990	3	"Minor"	"High"	"Third"	3	3	6	3
"S132"	"male"	"ReflectiveAndComplex"	"Non-musician"	263	3	"Minor"	"High"	"Third"	4	4	5	4
"S133"	"female"	"UpbeatAndConventional"	"Musician"	746	3	"Minor"	"High"	"Third"	4	4	5	4
"S134"	"female"	"IntenseAndRebellious"	"Non-musician"	202	7	"Minor"	"High"	"Third"	2	3	6	4
"S135"	"male"	"ReflectiveAndComplex"	"Musician"	694	4	"Minor"	"High"	"Third"	5	4	6	5
"S136"	"male"	"IntenseAndRebellious"	"Musician"	987	2	"Minor"	"High"	"Third"	3	3	5	5
"S137"	"female"	"UpbeatAndConventional"	"Non-musician"	39	6	"Minor"	"High"	"Third"	3	5	6	4
"S138"	"female"	"IntenseAndRebellious"	"Non-musician"	107	2	"Minor"	"High"	"Third"	6	6	2	2
"S139"	"male"	"ReflectiveAndComplex"	"Musician"	954	3	"Minor"	"High"	"Third"	3	3	5	4
"S140"	"male"	"IntenseAndRebellious"	"Musician"	968	7	"Minor"	"High"	"Third"	6	5	5	4
"S141"	"male"	"ReflectiveAndComplex"	"Non-musician"	251	5	"Minor"	"High"	"Third"	5	6	5	6
"S142"	"female"	"IntenseAndRebellious"	"Musician"	987	3	"Minor"	"High"	"Third"	5	5	3	3
"S143"	"female"	"ReflectiveAndComplex"	"Musician"	647	3	"Minor"	"High"	"Third"	4	4	5	4
"S144"	"male"	"IntenseAndRebellious"	"Non-musician"	456	6	"Minor"	"High"	"Third"	7	3	4	2
"S145"	"female"	"EnergeticAndRhythmic"	"Non-musician"	99	4	"Minor"	"High"	"Third"	6	6	2	2
"S146"	"female"	"UpbeatAndConventional"	"Non-musician"	227	3	"Minor"	"High"	"Third"	6	3	5	6
"S147"	"female"	"ReflectiveAndComplex"	"Non-musician"	74	3	"Minor"	"High"	"Third"	4	4	5	6
"S148"	"female"	"UpbeatAndConventional"	"Non-musician"	99	5	"Minor"	"High"	"Third"	4	5	4	4
"S149"	"female"	"UpbeatAndConventional"	"Musician"	986	6	"Minor"	"High"	"Third"	2	1	7	6
"S150"	"female"	"UpbeatAndConventional"	"Non-musician"	85	2	"Minor"	"High"	"Third"	5	5	4	3
"S151"	"male"	"IntenseAndRebellious"	"Musician"	583	2	"Minor"	"High"	"Third"	5	2	7	6
"S152"	"female"	"ReflectiveAndComplex"	"Non-musician"	258	3	"Minor"	"High"	"Third"	4	4	5	4
"S153"	"female"	"ReflectiveAndComplex"	"Non-musician"	282	2	"Minor"	"High"	"Third"	2	3	7	5
"S154"	"male"	"ReflectiveAndComplex"	"Musician"	894	5	"Minor"	"High"	"Third"	4	5	6	6
"S155"	"female"	"IntenseAndRebellious"	"Non-musician"	90	5	"Minor"	"High"	"Third"	4	3	6	5
"S156"	"female"	"ReflectiveAndComplex"	"Non-musician"	296	4	"Minor"	"High"	"Third"	5	5	3	4
"S157"	"female"	"IntenseAndRebellious"	"Musician"	618	3	"Minor"	"High"	"Third"	3	3	5	5
"S158"	"male"	"ReflectiveAndComplex"	"Musician"	848	4	"Minor"	"High"	"Third"	4	5	5	4
"S159"	"male"	"ReflectiveAndComplex"	"Musician"	928	3	"Minor"	"High"	"Third"	4	4	3	5
"S160"	"female"	"ReflectiveAndComplex"	"Musician"	589	3	"Minor"	"High"	"Third"	7	7	2	1
"S161"	"male"	"ReflectiveAndComplex"	"Musician"	972	5	"Minor"	"High"	"Third"	4	5	6	3
"S162"	"female"	"ReflectiveAndComplex"	"Non-musician"	157	3	"Minor"	"High"	"Third"	6	5	2	3
"S163"	"female"	"EnergeticAndRhythmic"	"Non-musician"	142	2	"Minor"	"High"	"Third"	5	4	3	2
"S164"	"female"	"ReflectiveAndComplex"	"Non-musician"	396	4	"Minor"	"High"	"Third"	4	3	4	4
"S165"	"male"	"EnergeticAndRhythmic"	"Non-musician"	395	2	"Minor"	"High"	"Third"	4	6	4	3
"S166"	"female"	"IntenseAndRebellious"	"Non-musician"	309	4	"Minor"	"High"	"Third"	3	4	5	4
"S167"	"female"	"ReflectiveAndComplex"	"Non-musician"	130	5	"Minor"	"High"	"Third"	1	5	4	5
"S168"	"male"	"ReflectiveAndComplex"	"Non-musician"	356	4	"Minor"	"High"	"Third"	4	5	4	6
"S169"	"male"	"ReflectiveAndComplex"	"Non-musician"	311	7	"Minor"	"High"	"Third"	2	7	7	6
"S170"	"female"	"UpbeatAndConventional"	"Musician"	509	4	"Minor"	"High"	"Third"	4	5	5	4
"S171"	"male"	"IntenseAndRebellious"	"Musician"	913	3	"Minor"	"High"	"Third"	5	2	3	5
"S172"	"male"	"ReflectiveAndComplex"	"Non-musician"	88	3	"Minor"	"High"	"Third"	4	4	5	4
"S173"	"female"	"ReflectiveAndComplex"	"Non-musician"	66	4	"Minor"	"High"	"Third"	3	3	5	3
"S174"	"male"	"EnergeticAndRhythmic"	"Musician"	791	3	"Minor"	"High"	"Third"	4	4	6	5
"S175"	"male"	"ReflectiveAndComplex"	"Musician"	959	6	"Minor"	"High"	"Third"	3	5	6	5
"S176"	"female"	"ReflectiveAndComplex"	"Musician"	903	3	"Minor"	"High"	"Third"	4	5	5	4
"S177"	"male"	"ReflectiveAndComplex"	"Non-musician"	460	6	"Minor"	"High"	"Third"	5	5	3	5
"S178"	"male"	"ReflectiveAndComplex"	"Musician"	652	5	"Minor"	"High"	"Third"	2	5	6	3
"S179"	"female"	"ReflectiveAndComplex"	"Musician"	759	3	"Minor"	"High"	"Third"	3	1	3	3
"S180"	"male"	"ReflectiveAndComplex"	"Musician"	958	3	"Minor"	"High"	"Third"	5	4	5	7
"S181"	"male"	"ReflectiveAndComplex"	"Musician"	732	6	"Minor"	"High"	"Third"	5	5	5	6
"S182"	"male"	"ReflectiveAndComplex"	"Musician"	698	4	"Minor"	"High"	"Third"	1	1	7	1
"S183"	"female"	"ReflectiveAndComplex"	"Musician"	995	3	"Minor"	"High"	"Third"	4	4	4	5
"S184"	"female"	"ReflectiveAndComplex"	"Musician"	584	3	"Minor"	"High"	"Third"	5	4	3	3
"S185"	"female"	"UpbeatAndConventional"	"Musician"	908	3	"Minor"	"High"	"Third"	4	4	5	4
"S186"	"male"	"ReflectiveAndComplex"	"Musician"	769	2	"Minor"	"High"	"Third"	5	4	6	2
"S187"	"female"	"ReflectiveAndComplex"	"Musician"	732	1	"Minor"	"High"	"Third"	7	5	1	1
"S188"	"female"	"UpbeatAndConventional"	"Non-musician"	131	5	"Minor"	"High"	"Third"	2	3	5	5
"S189"	"male"	"ReflectiveAndComplex"	"Musician"	967	6	"Minor"	"High"	"Third"	4	4	5	6
"S190"	"female"	"IntenseAndRebellious"	"Musician"	643	3	"Minor"	"High"	"Third"	4	4	5	4
"S191"	"female"	"UpbeatAndConventional"	"Non-musician"	175	2	"Minor"	"High"	"Third"	2	1	6	6
"S192"	"female"	"ReflectiveAndComplex"	"Musician"	920	5	"Minor"	"High"	"Third"	5	7	4	7
"S193"	"male"	"ReflectiveAndComplex"	"Non-musician"	285	3	"Minor"	"High"	"Third"	6	6	6	6
"S194"	"male"	"UpbeatAndConventional"	"Musician"	992	5	"Minor"	"High"	"Third"	3	3	5	4
"S195"	"male"	"ReflectiveAndComplex"	"Musician"	983	6	"Minor"	"High"	"Third"	5	4	6	5
"S196"	"female"	"ReflectiveAndComplex"	"Non-musician"	100	4	"Minor"	"High"	"Third"	7	6	6	5
"S197"	"female"	"IntenseAndRebellious"	"Non-musician"	136	2	"Minor"	"High"	"Third"	6	2	6	7
"S198"	"male"	"ReflectiveAndComplex"	"Musician"	883	2	"Minor"	"High"	"Third"	3	3	6	5
"S199"	"male"	"ReflectiveAndComplex"	"Musician"	537	4	"Minor"	"High"	"Third"	3	2	6	3
"S200"	"male"	"IntenseAndRebellious"	"Non-musician"	254	3	"Minor"	"High"	"Third"	5	4	5	3
"S201"	"male"	"IntenseAndRebellious"	"Musician"	868	2	"Minor"	"High"	"Third"	3	2	5	5
"S202"	"male"	"EnergeticAndRhythmic"	"Musician"	726	4	"Minor"	"High"	"Third"	2	3	6	4
"S203"	"male"	"EnergeticAndRhythmic"	"Non-musician"	180	2	"Minor"	"High"	"Third"	3	3	3	3
"S204"	"female"	"ReflectiveAndComplex"	"Musician"	893	5	"Minor"	"High"	"Third"	4	5	6	6
"S205"	"female"	"UpbeatAndConventional"	"Musician"	990	2	"Minor"	"High"	"Third"	3	1	5	3
"S206"	"male"	"IntenseAndRebellious"	"Non-musician"	137	5	"Minor"	"High"	"Third"	4	5	5	5
"S207"	"female"	"IntenseAndRebellious"	"Non-musician"	263	4	"Minor"	"High"	"Third"	2	2	6	5
"S208"	"male"	"ReflectiveAndComplex"	"Non-musician"	353	5	"Minor"	"High"	"Third"	2	2	7	4
"S209"	"male"	"IntenseAndRebellious"	"Musician"	703	4	"Minor"	"High"	"Third"	3	3	6	4
"S210"	"male"	"ReflectiveAndComplex"	"Non-musician"	404	4	"Minor"	"High"	"Third"	4	5	3	4
"S211"	"female"	"UpbeatAndConventional"	"Non-musician"	99	2	"Minor"	"High"	"Third"	6	3	3	3
"S212"	"male"	"ReflectiveAndComplex"	"Non-musician"	444	1	"Minor"	"High"	"Third"	4	1	6	7
"S213"	"female"	"ReflectiveAndComplex"	"Non-musician"	378	3	"Minor"	"High"	"Third"	4	3	4	2
"S214"	"female"	"UpbeatAndConventional"	"Non-musician"	100	4	"Minor"	"High"	"Third"	4	4	5	5
"S215"	"male"	"UpbeatAndConventional"	"Non-musician"	100	2	"Minor"	"High"	"Third"	6	3	2	2
"S216"	"male"	"ReflectiveAndComplex"	"Non-musician"	403	2	"Minor"	"High"	"Third"	2	1	6	6
"S217"	"male"	"IntenseAndRebellious"	"Non-musician"	309	3	"Minor"	"High"	"Third"	4	4	5	4
"S218"	"male"	"IntenseAndRebellious"	"Non-musician"	175	7	"Minor"	"High"	"Third"	6	2	6	5
"S219"	"female"	"EnergeticAndRhythmic"	"Musician"	989	4	"Minor"	"High"	"Third"	2	3	6	5
"S220"	"male"	"IntenseAndRebellious"	"Non-musician"	81	6	"Minor"	"High"	"Third"	2	6	7	4
"S221"	"male"	"IntenseAndRebellious"	"Non-musician"	470	2	"Minor"	"High"	"Third"	4	3	7	6
"S222"	"female"	"IntenseAndRebellious"	"Musician"	899	3	"Minor"	"High"	"Third"	3	3	6	3
"S223"	"female"	"ReflectiveAndComplex"	"Non-musician"	68	3	"Minor"	"High"	"Third"	4	4	6	4
"S224"	"male"	"ReflectiveAndComplex"	"Non-musician"	31	3	"Minor"	"High"	"Third"	3	4	5	4
"S225"	"female"	"IntenseAndRebellious"	"Musician"	546	1	"Minor"	"High"	"Third"	6	2	1	3
"S226"	"female"	"UpbeatAndConventional"	"Non-musician"	54	4	"Minor"	"High"	"Third"	5	4	5	5
"S227"	"male"	"IntenseAndRebellious"	"Musician"	734	2	"Minor"	"High"	"Third"	6	7	2	1
"S228"	"female"	"IntenseAndRebellious"	"Non-musician"	221	4	"Minor"	"High"	"Third"	4	5	6	6
"S229"	"male"	"IntenseAndRebellious"	"Musician"	848	4	"Minor"	"High"	"Third"	5	4	6	6
"S230"	"female"	"ReflectiveAndComplex"	"Non-musician"	202	2	"Minor"	"High"	"Third"	2	2	6	6
"S231"	"female"	"UpbeatAndConventional"	"Non-musician"	116	6	"Minor"	"High"	"Third"	3	5	6	6
"S232"	"female"	"IntenseAndRebellious"	"Musician"	929	4	"Minor"	"High"	"Third"	2	5	7	7
"S233"	"female"	"UpbeatAndConventional"	"Non-musician"	246	1	"Minor"	"High"	"Third"	3	4	4	3
"S234"	"male"	"ReflectiveAndComplex"	"Non-musician"	245	3	"Minor"	"High"	"Third"	5	3	5	3
"S235"	"male"	"IntenseAndRebellious"	"Musician"	978	3	"Minor"	"High"	"Third"	2	3	5	4
"S236"	"male"	"ReflectiveAndComplex"	"Musician"	972	3	"Minor"	"High"	"Third"	4	4	5	4
"S237"	"male"	"ReflectiveAndComplex"	"Musician"	975	2	"Minor"	"High"	"Third"	2	5	5	5
"S238"	"male"	"ReflectiveAndComplex"	"Musician"	904	4	"Minor"	"High"	"Third"	2	2	3	3
"S239"	"female"	"ReflectiveAndComplex"	"Non-musician"	351	6	"Minor"	"High"	"Third"	4	1	4	1
"S240"	"female"	"IntenseAndRebellious"	"Non-musician"	135	2	"Minor"	"High"	"Third"	5	3	5	7
"S241"	"female"	"UpbeatAndConventional"	"Musician"	960	2	"Minor"	"High"	"Third"	5	2	3	4
"S242"	"female"	"ReflectiveAndComplex"	"Musician"	509	3	"Minor"	"High"	"Third"	1	1	6	5
"S243"	"female"	"UpbeatAndConventional"	"Non-musician"	81	3	"Minor"	"High"	"Third"	7	7	4	5
"S244"	"female"	"UpbeatAndConventional"	"Non-musician"	293	2	"Minor"	"High"	"Third"	3	3	6	2
"S245"	"female"	"ReflectiveAndComplex"	"Musician"	997	5	"Minor"	"High"	"Third"	4	4	5	5
"S246"	"female"	"UpbeatAndConventional"	"Musician"	517	5	"Minor"	"High"	"Third"	3	6	5	4
"S247"	"male"	"UpbeatAndConventional"	"Non-musician"	334	3	"Minor"	"High"	"Third"	3	4	7	5
"S248"	"male"	"IntenseAndRebellious"	"Non-musician"	422	4	"Minor"	"High"	"Third"	5	5	6	5
"S249"	"male"	"ReflectiveAndComplex"	"Musician"	798	4	"Minor"	"High"	"Third"	3	1	2	4
"S250"	"male"	"EnergeticAndRhythmic"	"Non-musician"	424	3	"Minor"	"High"	"Third"	3	2	3	6
"S251"	"female"	"EnergeticAndRhythmic"	"Musician"	959	2	"Minor"	"High"	"Third"	5	5	6	4
"S252"	"male"	"ReflectiveAndComplex"	"Musician"	986	3	"Minor"	"High"	"Third"	4	3	5	3
"S253"	"male"	"ReflectiveAndComplex"	"Musician"	939	3	"Minor"	"High"	"Third"	5	4	5	3
"S254"	"male"	"ReflectiveAndComplex"	"Non-musician"	218	3	"Minor"	"High"	"Third"	6	3	3	3
"S255"	"female"	"ReflectiveAndComplex"	"Musician"	964	4	"Minor"	"High"	"Third"	3	6	5	7
"S256"	"male"	"EnergeticAndRhythmic"	"Musician"	782	4	"Minor"	"High"	"Third"	4	5	4	5
"S257"	"female"	"ReflectiveAndComplex"	"Non-musician"	338	3	"Minor"	"High"	"Third"	5	3	3	5
"S258"	"female"	"ReflectiveAndComplex"	"Non-musician"	402	2	"Minor"	"High"	"Third"	6	7	2	1
"S259"	"male"	"ReflectiveAndComplex"	"Musician"	839	6	"Minor"	"High"	"Third"	1	5	6	6
"S260"	"male"	"EnergeticAndRhythmic"	"Musician"	938	5	"Minor"	"High"	"Third"	5	3	4	5
"S261"	"male"	"ReflectiveAndComplex"	"Musician"	756	4	"Minor"	"High"	"Third"	3	5	4	3
"S262"	"female"	"UpbeatAndConventional"	"Musician"	783	6	"Minor"	"High"	"Third"	1	7	6	5
"S263"	"male"	"ReflectiveAndComplex"	"Musician"	966	4	"Minor"	"High"	"Third"	4	3	5	2
"S264"	"male"	"UpbeatAndConventional"	"Non-musician"	271	3	"Minor"	"High"	"Third"	3	3	6	6
"S265"	"male"	"IntenseAndRebellious"	"Musician"	715	3	"Minor"	"High"	"Third"	4	4	5	4
"S266"	"female"	"UpbeatAndConventional"	"Non-musician"	77	2	"Minor"	"High"	"Third"	3	2	6	7
"S267"	"male"	"IntenseAndRebellious"	"Non-musician"	142	4	"Minor"	"High"	"Third"	2	3	6	6
"S268"	"female"	"IntenseAndRebellious"	"Non-musician"	330	1	"Minor"	"High"	"Third"	3	1	5	5
"S269"	"female"	"IntenseAndRebellious"	"Non-musician"	115	1	"Minor"	"High"	"Third"	4	1	3	2
"S270"	"female"	"ReflectiveAndComplex"	"Non-musician"	196	5	"Minor"	"High"	"Third"	3	5	7	5
"S271"	"male"	"UpbeatAndConventional"	"Musician"	975	3	"Minor"	"High"	"Third"	5	4	6	5
"S272"	"male"	"ReflectiveAndComplex"	"Musician"	981	2	"Minor"	"High"	"Third"	2	3	3	4
"S273"	"female"	"UpbeatAndConventional"	"Non-musician"	241	3	"Minor"	"High"	"Third"	5	5	2	2
"S274"	"female"	"ReflectiveAndComplex"	"Non-musician"	299	2	"Minor"	"High"	"Third"	4	2	3	2
"S275"	"female"	"IntenseAndRebellious"	"Musician"	658	4	"Minor"	"High"	"Third"	3	2	4	4
"S276"	"female"	"IntenseAndRebellious"	"Non-musician"	17	3	"Minor"	"High"	"Third"	5	3	5	7
"S277"	"female"	"ReflectiveAndComplex"	"Non-musician"	396	4	"Minor"	"High"	"Third"	3	3	4	4
"S278"	"male"	"UpbeatAndConventional"	"Non-musician"	478	4	"Minor"	"High"	"Third"	5	3	4	4
"S279"	"male"	"EnergeticAndRhythmic"	"Non-musician"	258	3	"Minor"	"High"	"Third"	5	6	3	4
"S280"	"female"	"IntenseAndRebellious"	"Non-musician"	99	4	"Minor"	"High"	"Third"	3	4	4	4
"S281"	"female"	"UpbeatAndConventional"	"Non-musician"	159	6	"Minor"	"High"	"Third"	2	2	6	5
"S282"	"female"	"ReflectiveAndComplex"	"Musician"	995	6	"Minor"	"High"	"Third"	5	5	4	3
"S283"	"female"	"UpbeatAndConventional"	"Non-musician"	145	3	"Minor"	"High"	"Third"	5	4	3	3
"S284"	"female"	"ReflectiveAndComplex"	"Musician"	803	4	"Minor"	"High"	"Third"	1	1	7	3
"S285"	"male"	"UpbeatAndConventional"	"Musician"	569	2	"Minor"	"High"	"Third"	3	3	6	6
"S286"	"male"	"ReflectiveAndComplex"	"Musician"	894	2	"Minor"	"High"	"Third"	2	4	6	7
"S287"	"male"	"EnergeticAndRhythmic"	"Non-musician"	275	3	"Minor"	"High"	"Third"	4	4	5	4
"S288"	"male"	"ReflectiveAndComplex"	"Musician"	846	5	"Minor"	"High"	"Third"	3	4	7	6
"S289"	"female"	"ReflectiveAndComplex"	"Non-musician"	145	4	"Minor"	"High"	"Third"	5	5	2	2
"S290"	"female"	"UpbeatAndConventional"	"Non-musician"	78	4	"Minor"	"High"	"Third"	5	4	4	4
"S291"	"male"	"ReflectiveAndComplex"	"Musician"	827	4	"Minor"	"High"	"Third"	3	3	6	5
"S292"	"female"	"IntenseAndRebellious"	"Non-musician"	100	4	"Minor"	"High"	"Third"	5	5	4	5
"S293"	"male"	"ReflectiveAndComplex"	"Musician"	955	3	"Minor"	"High"	"Third"	2	4	4	5
"S294"	"female"	"UpbeatAndConventional"	"Non-musician"	91	4	"Minor"	"High"	"Third"	6	6	2	4
"S295"	"female"	"ReflectiveAndComplex"	"Musician"	975	5	"Minor"	"High"	"Third"	3	5	7	4
"S296"	"male"	"ReflectiveAndComplex"	"Non-musician"	336	3	"Minor"	"High"	"Third"	5	5	6	5
"S297"	"male"	"ReflectiveAndComplex"	"Musician"	900	5	"Minor"	"High"	"Third"	5	5	3	5
"S298"	"male"	"ReflectiveAndComplex"	"Non-musician"	111	5	"Minor"	"High"	"Third"	6	5	3	5
"S299"	"male"	"IntenseAndRebellious"	"Non-musician"	497	2	"Minor"	"High"	"Third"	4	5	4	5
"S300"	"female"	"UpbeatAndConventional"	"Non-musician"	408	3	"Minor"	"High"	"Third"	5	3	5	4
"S301"	"female"	"IntenseAndRebellious"	"Non-musician"	277	3	"Minor"	"High"	"Third"	5	3	5	4
"S302"	"female"	"ReflectiveAndComplex"	"Non-musician"	121	4	"Minor"	"High"	"Third"	5	5	3	4
"S303"	"male"	"ReflectiveAndComplex"	"Non-musician"	128	3	"Minor"	"High"	"Third"	5	5	4	5
"S304"	"female"	"ReflectiveAndComplex"	"Non-musician"	401	5	"Minor"	"High"	"Third"	3	5	3	5
"S305"	"male"	"ReflectiveAndComplex"	"Musician"	958	3	"Minor"	"High"	"Third"	4	4	3	2
"S306"	"female"	"UpbeatAndConventional"	"Musician"	942	6	"Minor"	"High"	"Third"	1	6	6	6
"S307"	"male"	"ReflectiveAndComplex"	"Musician"	670	3	"Minor"	"High"	"Third"	5	3	3	5
"S308"	"male"	"ReflectiveAndComplex"	"Musician"	997	4	"Minor"	"High"	"Third"	2	3	6	6
"S309"	"male"	"ReflectiveAndComplex"	"Non-musician"	368	2	"Minor"	"High"	"Third"	3	3	5	4
"S310"	"female"	"IntenseAndRebellious"	"Non-musician"	17	2	"Minor"	"High"	"Third"	6	2	3	2
"S311"	"male"	"ReflectiveAndComplex"	"Musician"	968	1	"Minor"	"High"	"Third"	2	4	4	5
